method,threshold,precision,recall,f1
isotonic,0.1,0.1964,0.6405,0.3006
isotonic,0.15,0.2285,0.5033,0.3143
isotonic,0.2,0.299,0.3987,0.3417
isotonic,0.25,0.3286,0.3007,0.314
isotonic,0.3,0.3553,0.1765,0.2358
isotonic,0.35,0.3667,0.0719,0.1202
isotonic,0.4,0.3636,0.0261,0.0488
isotonic,0.45,0.3333,0.0131,0.0252
isotonic,0.5,0.0,0.0,0.0
isotonic,0.55,0.0,0.0,0.0
isotonic,0.6,0.0,0.0,0.0
isotonic,0.65,0.0,0.0,0.0
isotonic,0.7,0.0,0.0,0.0
isotonic,0.75,0.0,0.0,0.0
isotonic,0.8,0.0,0.0,0.0
isotonic,0.85,0.0,0.0,0.0
isotonic,0.9,0.0,0.0,0.0
