model_artifact,operating_threshold,subgroup_type,subgroup,n,positive_rate,mean_predicted_probability,predicted_positive_rate,auc_roc,precision,recall,f1,bootstrap_replicates,auc_roc_ci_low,auc_roc_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high
best_model.joblib,0.5403,sex,Female,819,0.1197,0.3918,0.3077,0.8269,0.2817,0.7245,0.4057,300,0.778,0.8748,0.2242,0.3374,0.6354,0.8195,0.3351,0.465
best_model.joblib,0.5403,sex,Male,825,0.0667,0.2952,0.1855,0.8173,0.2418,0.6727,0.3558,300,0.7657,0.8669,0.1725,0.3072,0.537,0.8,0.2645,0.4325
best_model.joblib,0.5403,age_band,18-34,465,0.0753,0.3441,0.2258,0.8152,0.219,0.6571,0.3286,300,0.7361,0.8873,0.1495,0.3001,0.5,0.821,0.2366,0.4295
best_model.joblib,0.5403,age_band,35-49,365,0.1096,0.3267,0.2438,0.8429,0.3371,0.75,0.4651,300,0.7811,0.9015,0.2447,0.4269,0.6232,0.8874,0.3586,0.5541
best_model.joblib,0.5403,age_band,50-64,430,0.1,0.3831,0.3,0.8453,0.2558,0.7674,0.3837,300,0.7847,0.9009,0.1897,0.3252,0.6305,0.8905,0.303,0.4638
best_model.joblib,0.5403,age_band,65+,384,0.0911,0.3137,0.2135,0.8071,0.2683,0.6286,0.3761,300,0.7299,0.8741,0.1858,0.3735,0.4727,0.7895,0.2719,0.4887
best_model.joblib,0.5403,poverty_band,1.0-1.99,350,0.1086,0.4261,0.3343,0.7711,0.2308,0.7105,0.3484,300,0.6783,0.8488,0.1519,0.3159,0.5551,0.8645,0.2412,0.4489
best_model.joblib,0.5403,poverty_band,2.0+,1013,0.079,0.2753,0.1668,0.8489,0.2899,0.6125,0.3936,300,0.8085,0.8876,0.2201,0.3594,0.51,0.7007,0.3134,0.4711
best_model.joblib,0.5403,poverty_band,<1.0,281,0.1246,0.4852,0.4235,0.8326,0.2689,0.9143,0.4156,300,0.7524,0.896,0.1906,0.3391,0.8182,1.0,0.3129,0.5015
best_model.joblib,0.5403,race,Mexican American,168,0.0655,0.331,0.2083,0.8726,0.2286,0.7273,0.3478,300,0.7785,0.9404,0.0938,0.375,0.375,1.0,0.1599,0.5209
best_model.joblib,0.5403,race,Non-Hispanic Asian,206,0.0485,0.2195,0.1214,0.8673,0.24,0.6,0.3429,300,0.776,0.9407,0.1,0.4231,0.2789,1.0,0.1538,0.5378
best_model.joblib,0.5403,race,Non-Hispanic Black,469,0.0768,0.3468,0.2281,0.8031,0.2056,0.6111,0.3077,300,0.7427,0.8565,0.1298,0.2851,0.4569,0.756,0.2061,0.3987
best_model.joblib,0.5403,race,Non-Hispanic White,647,0.1236,0.3656,0.2906,0.8307,0.3138,0.7375,0.4403,300,0.7756,0.8725,0.2448,0.375,0.6289,0.8224,0.3594,0.4983
best_model.joblib,0.5403,race,Other Hispanic,154,0.1039,0.4185,0.3247,0.8021,0.26,0.8125,0.3939,300,0.6534,0.925,0.1445,0.3794,0.5938,1.0,0.2399,0.5287
